stem,class,blob_id,area_px,bbox_x,bbox_y,bbox_w,bbox_h,centroid_x,centroid_y,angle_deg,major_est,minor_est,aspect_est,perimeter,circularity
5,keyhole,1,34017,12,5,209,209,116.0,109.0,0.0,312.62403897653473,311.732393466586,1.0028602882657558,689.0681023597717,0.8924808272832234
5,crack_tear,1,185,175,23,47,101,200.94054054054055,55.075675675675676,65.66410378130122,201.64441329380617,28.14635098699606,7.164140254728862,294.24978137016296,0.009288755689876856
5,crack_tear,2,58,198,24,32,5,213.0,25.310344827586206,-179.8596157736349,56.02647533215619,6.761394641608836,8.286229397282392,72.5269113779068,0.060918847482343504
5,crack_tear,3,83,254,65,28,21,266.6385542168675,76.02409638554217,-150.47894411135968,57.917648377861894,13.553271649617473,4.273333081622656,109.98275470733643,0.04207418391107498
5,crack_tear,4,70,400,77,17,28,407.15714285714284,89.28571428571429,64.58747718561423,50.625239284968266,11.496018409222007,4.403719016371627,92.32590091228485,0.04496375730639962
5,crack_tear,5,52,8,107,4,31,9.634615384615385,121.98076923076923,94.1010527805556,49.136244288324676,4.001198287490601,12.280379145808817,64.14213538169861,0.06414197534774256
5,crack_tear,6,50,218,217,34,4,233.12,218.48,176.62232179875082,57.29842696123435,4.930089043026914,11.622186706767527,70.14213538169861,0.04086691741437389
5,groove,1,1834,0,0,169,94,70.49454743729552,29.0092693565976,152.38612056364894,341.8759792772841,89.24547596934312,3.830737320107803,497.3624789714813,0.08178802142290523
5,groove,2,572,304,0,70,26,334.986013986014,12.868881118881118,-170.489265302507,104.04991953599118,27.336256169820476,3.806297215072421,173.84061920642853,0.20396063493260413
5,groove,3,5653,636,0,296,64,754.7274013797984,26.664425968512294,-179.25407570796213,430.56112936986665,74.71893008209355,5.762410183529124,910.3330404758453,0.08230933475003212
5,groove,4,83,410,27,26,13,422.5421686746988,31.879518072289155,-161.35174613848687,36.164938679037974,11.366555831724748,3.1816969038591743,65.21320307254791,0.15513082550839102
5,groove,5,177,584,43,22,9,594.6440677966102,46.932203389830505,-175.6080531376467,34.87775410791019,14.853622312923003,2.348097388302942,52.72792172431946,0.6847644239283374
5,groove,6,1456,369,77,99,44,417.4532967032967,103.5309065934066,-178.52933564896014,164.1137966807976,53.46462640128699,3.0695771140237498,321.6812390089035,0.15872085193393293
5,groove,7,729,705,165,79,45,746.40329218107,190.69958847736626,165.32192031301378,140.61665651246327,43.9626310861048,3.198549537185417,295.4802281856537,0.09485023847635755
5,groove,8,374,510,194,44,22,531.6711229946524,205.54010695187165,160.5775842524952,68.73740531218293,17.707948961829896,3.8817257480594196,112.7695517539978,0.318186703609227
5,groove,9,6101,534,211,546,58,796.9877069332896,238.80576954597606,-179.7396917780554,834.4335267662814,48.82467517909991,17.09040575518394,1465.5289987325668,0.03163569653500486
5,void_pit,1,3073,176,17,96,132,231.39277578913115,79.71916693784576,69.07301326606058,234.34917513832704,95.50252562796577,2.453853143082218,673.4457385540009,0.07833041983299498
5,void_pit,2,132,521,33,12,18,526.8181818181819,41.75,87.6671045072003,31.78876616489606,16.55410937644235,1.920294443012394,59.21320295333862,0.3745321015047005
5,void_pit,3,649,305,79,37,53,318.2542372881356,102.84129429892141,71.04371433752483,77.36034265388274,47.17373155615308,1.6399029388186983,196.2253955602646,0.18243629569198563
5,void_pit,4,123,984,91,14,18,990.8455284552846,98.69918699186992,124.1889886825085,28.34162985065728,15.685799325985837,1.8068335221445604,52.97056245803833,0.43890120262065113
5,void_pit,5,1548,0,101,99,117,27.58204134366925,158.97545219638243,51.729570967860624,252.8799009211179,62.2431750474855,4.062773093843975,411.2203440666199,0.10143628404768257
5,void_pit,6,179,800,109,27,24,815.0335195530727,125.32960893854748,155.21324055389593,45.18404667437396,26.264451692487174,1.7203498280890752,98.28427076339722,0.1730188677402771
5,void_pit,7,155,883,148,17,19,891.8774193548387,156.45806451612904,-139.53013797773144,29.944947467041214,20.59970378675094,1.4536590585657727,64.38477599620819,0.3774095082382158
5,void_pit,8,1254,110,150,116,82,162.07416267942583,202.37639553429028,146.58643434718337,221.70402126839082,48.80088592368971,4.543032621826545,395.0193328857422,0.08713656232794549
5,void_pit,9,134,869,161,12,20,875.5074626865671,170.70149253731344,110.64339336042512,33.64782078420507,12.62426753865995,2.665328346047425,52.97056245803833,0.48816562332296914
5,void_pit,10,220,641,194,26,20,655.0045454545455,204.06363636363636,149.33836131665126,37.869191344744195,20.32938755109826,1.8627806364937805,74.76955199241638,0.42034115544801104
5,void_pit,11,220,184,208,33,16,197.55454545454546,213.54090909090908,164.9777082777501,54.134818783613426,17.30289750345363,3.128656090354353,91.21320307254791,0.26658711828225184
5,void_pit,12,622,208,209,85,19,248.93729903536976,217.93247588424438,177.03912147287764,133.41601951939765,26.638293879096967,5.008429410550936,244.2253955602646,0.10702665024332664
5,void_pit,13,1457,296,213,156,37,377.22031571722715,229.95332875772135,-172.53314213214261,259.2796659931993,33.14842964416893,7.821778013458041,538.8355671167374,0.05226181571238601
