stem,class,blob_id,area_px,bbox_x,bbox_y,bbox_w,bbox_h,centroid_x,centroid_y,angle_deg,major_est,minor_est,aspect_est,perimeter,circularity
3,keyhole,1,11605,0,75,119,123,57.48720379146919,136.0,90.0,183.51098409173343,181.27152883384406,1.0123541422083329,400.33304023742676,0.8963739160990729
3,crack_tear,1,95,634,55,29,17,648.6421052631579,63.21052631578947,-151.3781042460891,52.23195201030778,10.244737974110974,5.098417064827209,77.98275470733643,0.13121589424752417
3,crack_tear,2,51,75,77,34,25,92.31372549019608,86.74509803921569,-145.05923623389918,70.98180978687809,7.041496955865212,10.080498529116781,87.6396096944809,0.025359500359429788
3,crack_tear,3,75,0,160,40,36,16.733333333333334,180.26666666666668,-138.1298640255437,92.60218683263857,11.558189761803462,8.011823713678659,114.61017179489136,0.027265181747159747
3,crack_tear,4,57,75,161,40,35,95.43859649122807,181.3684210526316,138.1431785440398,98.00210178051628,11.1416748643002,8.795992898566677,112.6101713180542,0.011396000667693753
3,groove,1,11292,155,17,761,89,550.4592631951824,54.55074388947928,-175.18730614888918,1308.997467682461,48.33086678516066,27.08408782356627,1926.950352191925,0.0382019748500372
3,groove,2,257,84,31,53,19,110.3385214007782,37.70038910505836,168.4732089962581,92.32026682685975,16.299578553845656,5.663966148444491,131.11269772052765,0.14254597822792966
3,groove,3,1170,0,54,109,58,56.13931623931624,79.9982905982906,170.00544358006783,220.73324550709071,55.92459253395064,3.9469798805616394,347.17871391773224,0.10587260808497283
3,groove,4,1783,0,132,126,76,63.39147504206394,184.74032529444756,166.95824699043436,250.45195946224948,94.16184359943463,2.6598030287923358,401.60512042045593,0.12524556690529015
3,groove,5,956,780,157,93,56,832.5355648535565,176.7458158995816,152.9971538325692,175.26167398582203,29.6062810721267,5.91974613897315,305.4385987520218,0.10971174314175013
3,groove,6,8269,141,176,606,68,489.89261095658486,218.24150441407667,175.81133919406753,955.4978795548316,49.74780746048972,19.206833609840302,1579.369618654251,0.037907046808600235
3,groove,7,1500,0,213,142,29,56.154666666666664,227.98533333333333,-174.60576919167318,237.84751401150976,31.089339744562132,7.650452158690817,329.8406195640564,0.18417306364649247
3,void_pit,1,3121,968,0,112,259,1051.1659724447293,129.5495033643063,71.82720063408786,271.2898306784754,186.08752184354853,1.4578614757882504,875.2792179584503,0.047715595830127404
3,void_pit,2,324,690,108,29,42,703.2777777777778,135.99074074074073,116.57447406987919,61.921472988008375,25.328685881943954,2.4447170623815597,130.18376553058624,0.1953785243234927
3,void_pit,3,255,733,109,32,26,744.2823529411764,122.29019607843138,-143.48208725151696,58.63057080979469,18.772459002591745,3.1232225718792366,96.76955199241638,0.28314888674927274
3,void_pit,4,500,818,109,31,28,832.358,122.646,-148.61677522256232,43.66002122932191,34.83821268792686,1.2532221548561269,97.59797930717468,0.6015795363589083
3,void_pit,5,234,925,111,20,20,934.5470085470085,119.98290598290598,118.3352222191044,27.13585395492505,26.95938037351329,1.006545869097172,64.87005710601807,0.6106812921800229
